company_name,url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,company_url
CellCodex,https://www.cellcodex.com,Spatial biology and cell imaging company developing platforms for analyzing cell populations in tissue context. Uses multiplexed imaging to map cell states and phenotypes for research and diagnostics.,"[""biotech"", ""research"", ""AI/ML"", ""diagnostics""]",startup,"spatial imaging, cell biology, image analysis, multiplexing",11-50,possibly_hiring,2018.0,
Cell Guidance Systems,https://www.cellgs.com,Cell therapy company developing regenerative medicine products for tissue repair and disease treatment. Focuses on cell manufacturing and therapeutic applications in unmet medical areas.,"[""biotech"", ""cell therapy"", ""medtech"", ""regenerative medicine""]",startup,"cell therapy, regenerative medicine, tissue engineering, cell manufacturing",11-50,possibly_hiring,2012.0,
Charm Therapeutics,https://www.charmtherapeutics.com,Cell and gene therapy company developing novel therapeutic approaches for serious genetic diseases. Combines cell therapy with gene editing for targeted disease treatment.,"[""biotech"", ""cell therapy"", ""drug discovery"", ""genomics""]",startup,"gene therapy, cell therapy, gene editing, genetic diseases",11-50,possibly_hiring,2015.0,
Dysplasia Diagnostics Limited,https://www.dysplasia.com,Diagnostic testing company focused on early disease detection and patient monitoring. Develops and delivers diagnostic tools for clinical applications.,"[""diagnostics"", ""medtech"", ""healthtech""]",startup,"diagnostics, disease detection, biomarkers, testing",1-10,no_info,2016.0,
Empyrean Therapeutics,https://www.empyreantherapeutics.com,Drug discovery and development company targeting protein misfolding and neurodegenerative diseases. Develops small molecule and biologics therapies for conditions like Parkinson's and Alzheimer's.,"[""biotech"", ""drug discovery"", ""medtech""]",startup,"neurodegeneration, protein misfolding, drug discovery, therapeutics",11-50,possibly_hiring,2017.0,
Epitopea,https://www.epitopea.com,Immunology company developing therapeutics that modulate immune responses. Focuses on epitope-based approaches for cancer immunotherapy and infectious diseases.,"[""biotech"", ""immunotherapy"", ""drug discovery"", ""oncology""]",startup,"immunotherapy, antibodies, epitopes, cancer immunology",11-50,possibly_hiring,2018.0,
ExpressionEdits,https://www.expressionedits.com,Gene therapy company developing RNA editing and antisense approaches for genetic diseases. Creates therapies targeting disease-causing genes through post-transcriptional modification.,"[""biotech"", ""gene therapy"", ""drug discovery"", ""genomics""]",startup,"RNA editing, antisense, gene therapy, genetic diseases",11-50,possibly_hiring,2017.0,
Forth Therapeutics,https://www.forthtx.com,Respiratory disease therapeutics company developing small molecule and biologic therapies. Focuses on lung diseases including cystic fibrosis and other chronic respiratory conditions.,"[""biotech"", ""drug discovery"", ""medtech"", ""healthtech""]",startup,"respiratory disease, small molecules, biologics, pulmonology",11-50,possibly_hiring,2018.0,
F-star Therapeutics,https://www.f-star.com,Bispecific antibody company developing dual-targeting therapeutics for cancer and inflammatory diseases. Creates engineered antibodies that simultaneously engage two different antigens.,"[""biotech"", ""immunotherapy"", ""drug discovery"", ""oncology""]",scaleup,"bispecific antibodies, immunotherapy, protein engineering, oncology",51-200,possibly_hiring,2000.0,
Gen2 Neuroscience,https://www.gen2neuroscience.com,Neuroscience-focused drug discovery company developing treatments for neurological and psychiatric disorders. Uses genetic and molecular approaches to identify novel therapeutic targets.,"[""biotech"", ""drug discovery"", ""medtech""]",startup,"neuroscience, genetic approaches, drug discovery, neurology",11-50,possibly_hiring,2019.0,
Harness Therapeutics,https://www.harnesstherapeutics.com,Immunology company developing cell therapy and immunomodulation approaches for autoimmune and inflammatory diseases. Focuses on harnessing immune mechanisms for therapeutic benefit.,"[""biotech"", ""immunotherapy"", ""cell therapy"", ""drug discovery""]",startup,"cell therapy, immunomodulation, autoimmune disease, biologics",11-50,possibly_hiring,2016.0,
Inivata,https://www.inivata.com,Liquid biopsy diagnostics company developing blood tests for early cancer detection and monitoring. Uses circulating tumor DNA analysis to enable non-invasive cancer screening.,"[""diagnostics"", ""medtech"", ""oncology"", ""healthtech""]",scaleup,"liquid biopsy, ctDNA, cancer detection, diagnostics",51-200,possibly_hiring,2012.0,
Insmed,https://www.insmed.com,Specialty pharmaceutical company developing treatments for serious lung diseases and rare disorders. Operates as an established biopharmaceutical organization with marketed products.,"[""pharma"", ""drug discovery"", ""medtech"", ""healthtech""]",established,"pulmonology, rare diseases, specialty pharma, therapeutics",200-1000,possibly_hiring,1998.0,
Kymab,https://www.kymab.com,Antibody drug development company using transgenic mouse technology to generate fully human antibodies. Develops therapeutics for oncology and immunological disorders.,"[""biotech"", ""immunotherapy"", ""drug discovery"", ""oncology""]",scaleup,"antibody engineering, human antibodies, immunotherapy, oncology",51-200,possibly_hiring,2003.0,
LinkGevity,https://www.linkgevity.com,Biotech company focusing on therapeutic development and drug discovery in emerging areas. Part of the Cambridge biotech ecosystem with evolving research programs.,"[""biotech"", ""drug discovery""]",startup,"drug discovery, therapeutics, biotech",11-50,possibly_hiring,2019.0,
LoQus23 Therapeutics,https://www.loqus23.com,Drug discovery company developing targeted therapies for genetic diseases. Focuses on precision medicine approaches for rare and inherited conditions.,"[""biotech"", ""drug discovery"", ""genomics""]",startup,"genetic diseases, precision medicine, drug discovery, genomics",11-50,possibly_hiring,2018.0,
Methuselah Health,https://www.methuselahhealth.com,Longevity and aging biology company developing therapeutics to address age-related diseases. Focuses on understanding and targeting aging mechanisms for extended healthspan.,"[""biotech"", ""drug discovery"", ""healthtech""]",startup,"longevity, aging biology, healthspan, geroscience",11-50,possibly_hiring,2018.0,
Mission Therapeutics,https://www.missiontherapeutics.com,Mitochondrial disease therapeutic company developing treatments for metabolic and mitochondrial disorders. Uses mitochondrial biology to create targeted therapies.,"[""biotech"", ""drug discovery"", ""medtech""]",startup,"mitochondrial disease, metabolic disorders, cell biology",11-50,possibly_hiring,2011.0,
Mosaic Therapeutics,https://www.mosaictherapeutics.com,Gene therapy company developing mosaic virus vectors and gene transfer platforms. Creates therapies for genetic diseases using advanced viral delivery systems.,"[""biotech"", ""gene therapy"", ""drug discovery"", ""genomics""]",startup,"gene therapy, viral vectors, genetic diseases, gene delivery",11-50,possibly_hiring,2015.0,
New Path Molecular,https://www.newpathmolecular.com,Drug discovery company focused on novel molecular approaches to therapeutic development. Develops therapies across multiple disease areas using advanced chemistry.,"[""biotech"", ""drug discovery""]",startup,"drug discovery, molecular chemistry, therapeutics",11-50,possibly_hiring,2017.0,
Nikon,https://www.nikon.com,"Global imaging and optical technology company with research and development operations in Cambridge. Develops microscopy, imaging, and precision optics technologies for scientific research.","[""hardware"", ""research"", ""photonics""]",established,"microscopy, optics, imaging systems, precision instruments",1000+,possibly_hiring,1917.0,
One Nucleus,https://www.one-nucleus.com,Life science industry organization and network providing support to Cambridge biotech companies. Acts as a cluster development and advocacy organization for the regional biotech ecosystem.,"[""consulting"", ""research""]",established,"industry organization, networking, cluster development",11-50,no_info,2005.0,
Orion Pharma,https://www.orionpharma.com,Specialty pharmaceutical company developing and commercializing therapies for various disease areas. Operates with established manufacturing and distribution infrastructure.,"[""pharma"", ""drug discovery"", ""medtech""]",established,"specialty pharma, drug manufacturing, commercialization",200-1000,possibly_hiring,1996.0,
Ovartix,https://www.ovartix.com,Women's health biotech company developing therapies for reproductive and fertility disorders. Focuses on unmet medical needs in women's health and reproductive medicine.,"[""biotech"", ""medtech"", ""drug discovery"", ""healthtech""]",startup,"women's health, reproductive medicine, fertility, therapeutics",11-50,possibly_hiring,2017.0,
Petmedix,https://www.petmedix.com,Veterinary therapeutics company developing treatments for animal health and disease. Creates therapeutics for companion animals and other veterinary applications.,"[""biotech"", ""medtech"", ""healthtech""]",startup,"veterinary medicine, animal health, therapeutics",1-10,no_info,2015.0,
PlaqueTec,https://www.plaquetec.com,Diagnostic or biotech company developing novel approaches to disease detection or prevention. Operates with emerging technologies in the Cambridge biotech ecosystem.,"[""biotech"", ""diagnostics""]",startup,"diagnostics, biotech, disease detection",1-10,no_info,2016.0,
Promatix,https://www.promatix.com,"Biotech services or manufacturing company providing support to the biopharmaceutical industry. Offers manufacturing, analytical, or development services to biotech companies.","[""biotech"", ""consulting"", ""research""]",startup,"biotech services, manufacturing, development support",11-50,no_info,2012.0,
Proteotype Diagnostics,https://www.proteotypediagnostics.com,Protein-based diagnostics company developing novel diagnostic tests and assays. Uses proteomics approaches for disease detection and patient monitoring.,"[""diagnostics"", ""biotech"", ""medtech""]",startup,"proteomics, diagnostics, biomarkers, protein assays",1-10,no_info,2017.0,
Phoremost,https://www.phoremost.com,Drug discovery company using thermal shift assays and biophysical approaches to identify novel therapeutic compounds. Applies thermal profiling technology to drug discovery.,"[""biotech"", ""drug discovery"", ""developer tools""]",startup,"biophysics, thermal shift, drug discovery, screening",11-50,possibly_hiring,2009.0,
RxCelerate,https://www.rxcelerate.com,"Clinical trial and pharmaceutical services company providing regulatory, clinical development, and operational support. Serves as a CRO enabling faster pharmaceutical development.","[""consulting"", ""drug discovery"", ""research""]",established,"clinical trials, CRO services, regulatory support, drug development",51-200,possibly_hiring,2003.0,
SENISCA,https://www.seniscabio.com,Senescence biology company developing therapies targeting cellular senescence in aging and disease. Uses senescence biology to create treatments for age-related conditions.,"[""biotech"", ""drug discovery"", ""healthtech""]",startup,"senescence, aging, cell biology, therapeutics",1-10,possibly_hiring,2018.0,
Spliceor,https://www.spliceor.com,RNA splicing-focused therapeutics company developing antisense and small molecule therapies. Targets RNA splicing mechanisms for treatment of genetic diseases.,"[""biotech"", ""drug discovery"", ""genomics""]",startup,"RNA splicing, antisense therapy, genetic disease, gene therapy",1-10,possibly_hiring,2017.0,
Stemnovate,https://www.stemnovate.com,Stemnovate is a biotech company focused on stem cell research and regenerative medicine applications. The company develops innovative cell therapy technologies for treating various diseases.,"[""biotech"", ""medtech"", ""drug discovery""]",startup,"stem cells, cell therapy, regenerative medicine, biotechnology",11-50,possibly_hiring,2009.0,
Talisman Therapeutics,https://www.talismantherapeutics.com,Talisman Therapeutics develops cell therapy and regenerative medicine treatments for serious diseases. The company combines advanced biology with therapeutic development to create novel treatments.,"[""biotech"", ""medtech"", ""drug discovery""]",startup,"cell therapy, regenerative medicine, immunology",11-50,possibly_hiring,2013.0,
TRx Biosciences,https://www.trxbio.com,TRx Biosciences is a research and development company specializing in biotech solutions and pharmaceutical development. The company provides research services and develops therapeutic compounds.,"[""biotech"", ""pharma"", ""drug discovery""]",startup,"drug development, biomedical research, therapeutic development",11-50,possibly_hiring,2010.0,
Xap Therapeutics,https://www.xaptx.com,Xap Therapeutics is a biopharmaceutical company focused on developing therapeutic compounds for cancer and other serious diseases. The company uses proprietary technology to identify and develop novel treatments.,"[""biotech"", ""pharma"", ""drug discovery""]",startup,"drug discovery, oncology, medicinal chemistry",11-50,possibly_hiring,2014.0,
Zoetis,https://www.zoetis.com,"Zoetis is a global leader in animal health, developing medicines, vaccines, and diagnostic products for pets, livestock, and poultry. The company operates in over 180 countries with significant research presence in Cambridge.","[""pharma"", ""medtech"", ""diagnostics""]",established,"animal health, veterinary pharmaceuticals, diagnostics",1000+,actively_hiring,2013.0,
Wellcome Sanger Institute,https://www.sanger.ac.uk,"The Wellcome Sanger Institute is a world-leading independent research institute focused on genomics, genetics, and molecular biology. It conducts foundational research and advances in genome biology with global impact.","[""genomics"", ""research"", ""biotech""]",established,"genomics, sequencing, genetics, bioinformatics",200-1000,actively_hiring,1992.0,
EMBL's European Bioinformatics Institute,https://www.ebi.ac.uk,The European Bioinformatics Institute is an international bioinformatics research organization providing data resources and bioinformatics services to the scientific community. It operates as a research institute of the European Molecular Biology Laboratory.,"[""biotech"", ""data analytics"", ""research""]",established,"bioinformatics, sequence databases, computational biology, software",200-1000,actively_hiring,1992.0,
Wellcome Connecting Science,https://wellcome.org/connecting-science,Wellcome Connecting Science is a program focused on improving science communication and public engagement with science. It funds initiatives that connect scientists with society and support science education.,"[""research"", ""edtech""]",established,"science communication, education, public engagement",51-200,possibly_hiring,2015.0,
BioData Innovation Centre,https://www.biodata-innovation-centre.com,BioData Innovation Centre is a technology hub focused on biodata and bioinformatics innovation. The centre supports the development of data-driven solutions for biotech and healthcare applications.,"[""biotech"", ""data analytics"", ""AI/ML""]",startup,"bioinformatics, data analytics, machine learning, biotechnology",11-50,possibly_hiring,2020.0,
Abbexa Ltd,https://www.abbexa.com,"Abbexa Ltd is a life sciences company supplying research reagents, antibodies, and biochemical tools to the research community. The company manufactures high-quality products for molecular biology and immunology research.","[""biotech"", ""research""]",scaleup,"antibodies, research reagents, molecular biology",51-200,possibly_hiring,2007.0,
Agenus UK Ltd,https://www.agenusbio.com,Agenus UK Ltd (part of Agenus) is a biopharmaceutical company specializing in immunotherapy and cancer treatment development. The company develops therapeutic vaccines and immune checkpoint modulators.,"[""biotech"", ""pharma"", ""immunotherapy""]",scaleup,"immunotherapy, cancer vaccines, oncology, immunology",200-1000,possibly_hiring,2011.0,
Ai Vivo Ltd,https://aivivo.com,Ai Vivo Ltd is a biotech company combining AI and biotechnology to develop novel therapeutics. The company uses machine learning to accelerate drug discovery and development processes.,"[""biotech"", ""AI/ML"", ""drug discovery""]",startup,"artificial intelligence, drug discovery, machine learning, biotechnology",1-10,possibly_hiring,2019.0,
Alan Boswell Group,https://www.alanboswell.com,Alan Boswell Group is an insurance services company providing commercial and specialty insurance products. The company serves various industries with customized insurance solutions.,"[""fintech""]",established,"insurance, financial services",51-200,possibly_hiring,1974.0,
Alianza,https://www.alianza.com,Alianza is a data and technology company providing information services and analytics solutions. The company specializes in data intelligence and business solutions for enterprises.,"[""data analytics"", ""software""]",scaleup,"data analytics, business intelligence, software",51-200,possibly_hiring,2005.0,
Altium,https://www.altium.com,"Altium is a leading provider of electronic design and manufacturing software used by engineers globally. The company develops CAD tools for PCB design, 3D design, and manufacturing collaboration.","[""software"", ""developer tools"", ""hardware""]",established,"CAD software, PCB design, electronics, manufacturing",200-1000,actively_hiring,1985.0,
AMD Limited,https://www.amd.com,"AMD Limited is a semiconductor company designing processors and graphics solutions for computing, gaming, and data center applications. The company is a major player in CPU and GPU markets globally.","[""semiconductors"", ""hardware""]",established,"semiconductors, processors, GPUs, computing architecture",1000+,actively_hiring,1969.0,
Amgen,https://www.amgen.com,"Amgen is one of the world's largest independent biopharmaceutical companies. It discovers, develops, manufactures, and delivers human therapeutics focusing on oncology, cardiovascular disease, and other serious illnesses.","[""pharma"", ""biotech"", ""drug discovery""]",established,"biopharmaceuticals, therapeutic proteins, oncology, biotechnology",1000+,actively_hiring,1980.0,
Analog Devices Ltd,https://www.analog.com,"Analog Devices is a semiconductor company specializing in analog, mixed-signal, and digital signal processing integrated circuits. The company serves industrial, communications, and consumer markets.","[""semiconductors"", ""hardware""]",established,"semiconductors, analog circuits, signal processing",1000+,actively_hiring,1965.0,
Astex Pharmaceuticals,https://www.astx.com,Astex Pharmaceuticals is a biopharmaceutical company developing small-molecule oncology therapeutics. The company uses proprietary fragment-based drug discovery technology to create novel cancer treatments.,"[""pharma"", ""biotech"", ""drug discovery""]",scaleup,"oncology, drug discovery, medicinal chemistry",200-1000,possibly_hiring,1999.0,
AVEVA,https://www.aveva.com,"AVEVA is an industrial software company (part of Schneider Electric) providing engineering and operations solutions for asset-intensive industries. The company develops CAD, PLM, and data analytics software.","[""software"", ""developer tools"", ""data analytics""]",established,"industrial software, CAD, PLM, data analytics, engineering",200-1000,actively_hiring,1998.0,
Bulgin,https://bulgin.com,Bulgin is an electronics components manufacturer specializing in connectors and switches for industrial applications. The company produces robust interconnect solutions for harsh environments.,"[""hardware"", ""electronics""]",established,"electronics, connectors, industrial components",51-200,possibly_hiring,1923.0,
Bango,https://www.bango.com,Bango is a fintech company providing mobile commerce solutions and payment technologies. The company operates a platform enabling digital commerce and subscription management globally.,"[""fintech"", ""SaaS""]",scaleup,"mobile commerce, payments, fintech, subscription management",51-200,actively_hiring,2000.0,
Bard Pharmaceuticals Ltd,https://www.bardpharma.com,Bard Pharmaceuticals Ltd is a pharmaceutical company developing specialty medicines. The company focuses on bringing innovative treatments to market in various therapeutic areas.,"[""pharma"", ""drug discovery""]",scaleup,"pharmaceuticals, drug development, specialty medicines",11-50,possibly_hiring,2008.0,
Bayer CropScience,https://www.cropscience.bayer.com,"Bayer CropScience is the agricultural biotechnology division of Bayer, developing crop protection and seed innovations. The company focuses on sustainable agriculture and food security solutions.","[""biotech"", ""agritech"", ""cleantech""]",established,"agricultural biotechnology, crop protection, seeds, sustainable agriculture",1000+,actively_hiring,2002.0,
Beko,http://www.beko.com,"Beko is a consumer appliances manufacturer producing refrigerators, washing machines, and other home appliances. The company operates globally with manufacturing and design facilities worldwide.","[""hardware""]",established,"consumer appliances, smart home, electronics",1000+,possibly_hiring,1955.0,
Biofidelity Ltd,https://www.biofidelity.com,"Biofidelity Ltd is a biomedical research company specializing in biomechanics, musculoskeletal research, and medical device testing. The company provides research services and develops biomechanical models.","[""medtech"", ""research"", ""biotech""]",scaleup,"biomechanics, medical devices, musculoskeletal research",11-50,possibly_hiring,2005.0,
BOXERsolutions Ltd,https://www.boxersolutions.com,BOXERsolutions Ltd is a business solutions company providing software and consulting services. The company develops and implements enterprise software solutions for various industries.,"[""software"", ""SaaS"", ""consulting""]",scaleup,"business software, enterprise solutions, consulting",51-200,possibly_hiring,2003.0,
BRDG,https://www.bridg.com,BRDG is a data science and analytics company providing insights and solutions for business intelligence. The company specializes in building data-driven applications and analytics platforms.,"[""data analytics"", ""AI/ML"", ""software""]",startup,"data analytics, business intelligence, machine learning",11-50,possibly_hiring,2017.0,
Broadcom Ltd,https://www.broadcom.com,"Broadcom Ltd is a major semiconductor company designing and supplying infrastructure software and broadband connectivity solutions. The company serves data center, broadband, and enterprise markets globally.","[""semiconductors"", ""hardware""]",established,"semiconductors, broadband, network infrastructure, software",1000+,actively_hiring,1991.0,
Cambridge Consultants,https://www.cambridgeconsultants.com,"Cambridge Consultants is a leading technology consulting firm providing engineering, product development, and innovation services. The company works across sectors including healthcare, consumer, industrial, and communications.","[""consulting"", ""developer tools"", ""medtech""]",established,"technology consulting, product development, engineering, innovation",200-1000,actively_hiring,1960.0,
Cambridge Digital Health,https://www.cambridgedigitalhealth.com,Cambridge Digital Health is a digital health startup focused on healthcare technology and innovation. The company develops solutions to improve healthcare delivery and patient outcomes.,"[""healthtech"", ""edtech"", ""SaaS""]",startup,"digital health, healthcare technology, medical software",1-10,possibly_hiring,2015.0,
Cambridge Flow Solutions,http://www.cambridgeflowsolutions.com,"Cambridge Flow Solutions is an engineering company specializing in fluid dynamics, computational modeling, and engineering analysis. The company provides solutions for thermal and fluid flow applications.","[""software"", ""hardware"", ""developer tools""]",scaleup,"fluid dynamics, computational modeling, engineering software",11-50,possibly_hiring,2001.0,
Cambridge Future Tech,https://www.cambridgefuturetech.com,Cambridge Future Tech is a venture support and technology innovation organization promoting emerging technologies and entrepreneurship. The organization fosters development of next-generation tech companies.,"[""consulting"", ""research""]",established,"technology innovation, venture support, entrepreneurship",11-50,possibly_hiring,2010.0,
Cambridge Heartwear,http://www.cambridgeheartwear.com,Cambridge Heartwear is a medtech startup developing wearable cardiac monitoring devices. The company combines advanced electronics and medical expertise to create next-generation cardiac wearables.,"[""medtech"", ""hardware"", ""healthtech""]",startup,"wearable devices, cardiac monitoring, medical electronics",1-10,possibly_hiring,2012.0,
Cambridge Mechatronics,https://www.cambridgemechatronics.com,"Cambridge Mechatronics is an advanced actuators and motion control company developing innovative mechanical systems. The company creates precision actuators for robotics, aerospace, and industrial applications.","[""hardware"", ""robotics"", ""aerospace""]",scaleup,"actuators, mechatronics, motion control, robotics",51-200,possibly_hiring,2004.0,
Cerevance,https://www.cerevance.com,Cerevance is a neuroscience biotech company developing novel therapeutics for neurological and psychiatric disorders. The company uses proprietary biology to identify and develop brain-targeted treatments.,"[""biotech"", ""pharma"", ""drug discovery""]",scaleup,"neuroscience, drug discovery, psychiatric medications",51-200,possibly_hiring,2014.0,
Citrix Systems UK Ltd,https://www.citrix.com,"Citrix Systems UK Ltd (part of Citrix) is an enterprise software company providing virtualization, networking, and cloud solutions. The company develops software enabling secure workspace access and application delivery.","[""software"", ""SaaS"", ""developer tools""]",established,"virtualization, cloud computing, enterprise software, cybersecurity",1000+,actively_hiring,1989.0,
CN-Bio Innovations,https://www.cn-bio.com,CN-Bio Innovations is a biotech company developing organ-on-chip and organoid technologies for drug development and research. The company creates advanced tools for in vitro biology and disease modeling.,"[""biotech"", ""medtech"", ""drug discovery""]",scaleup,"organ-on-chip, organoids, biotech instrumentation, drug testing",51-200,possibly_hiring,2009.0,
Creasallis,https://www.creasallis.com,Creasallis is a technology company with focus on software solutions and digital transformation. The company develops enterprise and business applications for various sectors.,"[""software"", ""SaaS""]",startup,"software development, digital solutions",1-10,possibly_hiring,2018.0,
CS Genetics,http://www.csgenetics.com,CS Genetics is a genetics research company providing genomic services and analysis tools. The company specializes in DNA sequencing and genetic data interpretation for research and diagnostics.,"[""genomics"", ""research"", ""diagnostics""]",scaleup,"genomics, DNA sequencing, genetic analysis, bioinformatics",11-50,possibly_hiring,2006.0,
CW (Cambridge Wireless Ltd),https://www.cambridgewireless.co.uk,"CW (Cambridge Wireless Ltd) is an industry association and membership organization for wireless and broadband technology companies. The organization provides networking, business intelligence, and industry support.","[""consulting"", ""research""]",established,"wireless technology, broadband, industry association",11-50,possibly_hiring,2000.0,
Dassault Systèmes Ltd,https://www.3ds.com,"Dassault Systèmes Ltd is a leading 3D software company providing design, engineering, and lifecycle management solutions. The company develops software for product innovation across aerospace, automotive, manufacturing, and other industries.","[""software"", ""developer tools""]",established,"3D design, CAD, PLM, simulation software, digital manufacturing",1000+,actively_hiring,1977.0,
DisplayLink (UK) Ltd,https://www.displaylink.com,DisplayLink develops universal display and graphics technology solutions enabling seamless connectivity across devices. The company specializes in USB-based display adapters and multi-monitor support for computing platforms.,"[""hardware"", ""software""]",established,"display technology, USB graphics, multi-monitor, video processing",51-200,no_info,2000.0,
Dr Reddy's,https://www.drreddys.com,"Dr Reddy's is a global pharmaceutical company with significant R&D operations including a Cambridge research center. They focus on active pharmaceutical ingredients, generics, and specialty pharmaceuticals.","[""pharma"", ""drug discovery""]",established,"pharmaceutical research, drug development, active ingredients",1000+,actively_hiring,1984.0,https://www.drreddys.com
Emberion Limited,https://www.emberion.com,Emberion develops advanced photonics and quantum computing technologies including quantum processors and photonic integrated circuits. The company focuses on next-generation quantum technology for computing applications.,"[""quantum computing"", ""photonics""]",startup,"quantum computing, photonics, quantum processors, integrated circuits",11-50,possibly_hiring,2019.0,
Endomag,http://www.endomag.com,Endomag develops innovative surgical guidance systems using magnetic technology for precision minimally invasive procedures. Their technology aids surgeons in breast cancer sentinel lymph node biopsy procedures.,"[""medtech"", ""diagnostics"", ""healthtech""]",scaleup,"surgical guidance, magnetic localization, minimally invasive surgery, medical devices",51-200,possibly_hiring,2006.0,
EnSilica,http://www.ensilica.com,"EnSilica provides bespoke semiconductor design and FPGA solutions for enterprises and embedded systems. The company specializes in custom silicon design, embedded software, and digital/analog circuit design.","[""semiconductors"", ""hardware"", ""developer tools""]",established,"semiconductor design, FPGA, custom silicon, embedded systems, digital design",51-200,possibly_hiring,1998.0,
Excelitas Noblelight Ltd,https://www.excelitas.com,"Excelitas Noblelight specializes in photonics and optoelectronics for medical, industrial, and aerospace applications. They manufacture specialized light sources and sensing systems.","[""photonics"", ""hardware"", ""medtech""]",established,"photonics, optoelectronics, light sources, sensing systems, medical devices",200-1000,possibly_hiring,1947.0,
Exscientia,http://www.exscientia.ai,Exscientia combines artificial intelligence with structural biology to accelerate drug discovery and design novel therapeutics. The platform uses deep learning and machine learning for rational drug design.,"[""AI/ML"", ""deep learning"", ""drug discovery"", ""pharma""]",scaleup,"drug discovery, AI, machine learning, computational chemistry, molecular design",51-200,actively_hiring,2012.0,
EDX Medical Group Plc,http://www.edxmedical.com,EDX Medical develops advanced imaging and diagnostic technologies for medical markets. Their focus includes ultrasound and other imaging modalities for clinical applications.,"[""medtech"", ""diagnostics"", ""healthtech""]",scaleup,"medical imaging, diagnostics, ultrasound, imaging systems",51-200,possibly_hiring,1999.0,
Featurespace,https://www.featurespace.com,"Featurespace develops machine learning and AI solutions for fraud detection, behavioral analytics, and risk management in financial services. Their platform uses advanced AI models for real-time threat detection.","[""AI/ML"", ""fintech"", ""cybersecurity"", ""data analytics""]",scaleup,"machine learning, fraud detection, behavioral analytics, AI, risk management",51-200,actively_hiring,2008.0,
FlexEnable,https://www.flexenable.com,FlexEnable develops flexible electronics and display technologies for next-generation consumer and industrial devices. Their organic semiconductor technology enables curved and bendable displays.,"[""hardware"", ""semiconductors"", ""photonics""]",scaleup,"flexible electronics, display technology, organic semiconductors, bendable displays",51-200,possibly_hiring,2011.0,
Frontier Developments Plc,https://www.frontier.co.uk,Frontier Developments is a video game development studio and publisher known for creating immersive space simulation games and VR experiences. The company is listed on the AIM stock exchange.,"[""software""]",established,"game development, space simulation, VR, graphics, gaming engine",51-200,possibly_hiring,1994.0,
Gearset,https://www.gearset.com,"Gearset provides DevOps and deployment automation tools specifically for Salesforce platforms. The SaaS platform helps development teams manage releases, testing, and deployment workflows.","[""SaaS"", ""developer tools""]",scaleup,"DevOps, Salesforce, deployment automation, CI/CD, release management",51-200,actively_hiring,2013.0,
Grant Thornton,https://www.grantthornton.co.uk,"Grant Thornton is a major professional services and consulting firm offering audit, tax, advisory, and M&A services. The firm operates globally with significant UK presence.","[""consulting""]",established,"audit, tax, consulting, advisory, financial services",1000+,actively_hiring,1897.0,
Hanwha Phasor,https://www.hanwha.com,"Hanwha Phasor develops advanced antenna and RF systems for defence, space, and satellite communications. Their phased array and beam steering technologies serve critical infrastructure applications.","[""defence"", ""space"", ""hardware""]",established,"antenna systems, RF technology, phased arrays, satellite, defence electronics",51-200,possibly_hiring,2006.0,
Heartfelt Technologies,https://www.heartfelttech.com,Heartfelt Technologies develops digital health solutions and wearable biosensors for health monitoring and patient management. The startup combines biomedical sensors with software analytics.,"[""healthtech"", ""medtech"", ""IoT""]",startup,"wearable biosensors, digital health, health monitoring, medical devices",1-10,possibly_hiring,2017.0,
Hedera Innovations Ltd,https://www.hederainnovations.com,Hedera Innovations focuses on early-stage technology development and innovation initiatives. The company supports emerging technologies and venture development in the Cambridge ecosystem.,"[""software""]",startup,"innovation, technology development, venture support",11-50,no_info,2015.0,
Hereworks,https://www.hereworks.com,Hereworks develops workplace collaboration and productivity software platforms for enterprise teams. The platform focuses on streamlining workflow and communication.,"[""SaaS"", ""software""]",startup,"workplace collaboration, productivity software, communication tools",11-50,no_info,2017.0,
Howden Insurance Brokers,https://www.howdengroup.com,Howden is a major insurance broking and risk management firm operating globally with significant operations in Cambridge. They provide insurance solutions and risk advisory services.,"[""fintech""]",established,"insurance broking, risk management, insurance services",1000+,possibly_hiring,1993.0,
Huawei UK Research Centre,https://www.huawei.com/uk,"Huawei's UK Research Centre conducts advanced research in telecommunications, 5G, and emerging technologies for European markets. The center focuses on innovation and product development.","[""software"", ""hardware""]",established,"telecommunications, 5G, wireless, network technology, research",200-1000,possibly_hiring,2004.0,
Immaterial Ltd,https://www.immaterial.com,Immaterial develops computational materials science and molecular simulation platforms. The startup uses AI and quantum computing approaches for materials discovery and optimization.,"[""AI/ML"", ""materials science"", ""quantum computing""]",startup,"materials science, molecular simulation, computational chemistry, AI",11-50,possibly_hiring,2019.0,
Iprova,https://www.iprova.com,Iprova provides innovation management and ideation software for enterprises seeking to structure and accelerate innovation processes. Their platform supports crowdsourcing and collaborative innovation.,"[""SaaS"", ""software""]",scaleup,"innovation management, ideation software, collaboration, enterprise software",51-200,no_info,2007.0,
IQVIA,https://www.iqvia.com,"IQVIA is a leading pharmaceutical research and clinical data analytics company providing services to the life sciences industry. They conduct clinical trials, data analysis, and regulatory consulting.","[""pharma"", ""data analytics"", ""research""]",established,"clinical trials, pharmaceutical research, data analytics, medical research",1000+,actively_hiring,1987.0,
